Ticker,Sector,Industry,Market_Cap,Volume
AAPL,Technology,Consumer Electronics,3.63E+12,50509406
BAC,Financial Services,Banks - Diversified,3.53E+11,33290225
AMZN,Consumer Cyclical,Internet Retail,2.44E+12,36640967
DAL,Industrials,Airlines,41380323328,7582877
AA,Basic Materials,Aluminum,9398955008,4713323
AXP,Financial Services,Credit Services,2.16E+11,2441384
AMAT,Technology,Semiconductor Equipment & Materials,1.50E+11,6683633
AAL,Industrials,Airlines,10350089216,27894116
MT,Basic Materials,Steel,22330810368,1795176
APA,Energy,Oil & Gas E&P,8320108032,6521738
NLY,Real Estate,REIT - Mortgage,12105012224,6738989
LUV,Industrials,Airlines,17738344448,7325013
PANW,Technology,Software - Infrastructure,1.32E+11,5701000
AMD,Technology,Semiconductors,1.81E+11,38898305
AVGO,Technology,Semiconductors,1.11E+12,33194688
DB,Financial Services,Banks - Regional,38780805120,1538583
APD,Basic Materials,Specialty Chemicals,70115540992,1529206
AMBA,Technology,Semiconductor Equipment & Materials,3183947520,735810
ANF,Consumer Cyclical,Apparel Retail,5546034176,2092562
AGNC,Real Estate,REIT - Mortgage,9261167616,17652618
JBLU,Industrials,Airlines,2317138176,20645457
ORLY,Consumer Cyclical,Specialty Retail,76644261888,337877
AZO,Consumer Cyclical,Specialty Retail,58229366784,124259
AN,Consumer Cyclical,Auto & Truck Dealerships,7487610368,465576
ARR,Real Estate,REIT - Mortgage,1467930112,1972455
ADI,Technology,Semiconductors,1.04E+11,3255159
AMTD,Financial Services,Asset Management,1092460288,37884
AEO,Consumer Cyclical,Apparel Retail,2750900480,5143298
ALK,Industrials,Airlines,8931052544,2768098
PAA,Energy,Oil & Gas Midstream,13749692416,4096188
AAP,Consumer Cyclical,Specialty Retail,2902499328,1984196
NAT,Energy,Oil & Gas Midstream,557485312,2771128
AIV,Real Estate,REIT - Residential,1258706688,1036559
UBS,Financial Services,Banks - Diversified,1.06E+11,1701784
ARLP,Energy,Thermal Coal,3448709632,371277
ATI,Industrials,Metal Fabrication,8734030848,1437442
AVB,Real Estate,REIT - Residential,31310106624,616532
AVY,Consumer Cyclical,Packaging & Containers,14693749760,667301
ASH,Basic Materials,Specialty Chemicals,3065945088,549272
ABM,Industrials,Specialty Business Services,3307354624,332208
