ESNT,Financial Services,Insurance - Specialty,6150794752,710510
RUSHB,Consumer Cyclical,Auto & Truck Dealerships,4668726784,19730
OEC,Basic Materials,Specialty Chemicals,820204032,460728
ENFC,Unknown,Unknown,,
EQFN,Financial Services,Banks - Regional,33983400,628
GDEN,Consumer Cyclical,Resorts & Casinos,929843136,205693
FSLR,Technology,Solar,17165679616,2170827
WFM,Unknown,Unknown,,
FISV,Unknown,Unknown,,
FLEX,Technology,Electronic Components,16239735808,4699669
PNC,Financial Services,Banks - Regional,77377961984,2011466
FTI,Energy,Oil & Gas Equipment & Services,12881566720,3465205
MFA,Real Estate,REIT - Mortgage,1090246528,973225
FRO,Energy,Oil & Gas Midstream,3851377920,3481023
PBCT,Unknown,Unknown,,
SYF,Financial Services,Credit Services,24911101952,3520832
SIVB,Unknown,Unknown,,
SFM,Consumer Defensive,Grocery Stores,17635465216,1284754
UNFI,Consumer Defensive,Food Distribution,2059419392,707289
IFF,Basic Materials,Specialty Chemicals,21988651008,1406871
GGAL,Financial Services,Banks - Regional,10491585536,1151683
FTK,Energy,Oil & Gas Equipment & Services,272631552,245111
FRT,Real Estate,REIT - Retail,9570964480,659798
KB,Financial Services,Banks - Regional,21030000640,188966
LPLA,Financial Services,Capital Markets,27799128064,526122
SFL,Industrials,Marine Shipping,1317999104,846013
RJF,Financial Services,Asset Management,32865515520,1208871
FN,Technology,Electronic Components,7702854144,617032
FCH,Unknown,Unknown,,
FLT,Unknown,Unknown,,
FGP,Unknown,Unknown,,
SFS,Unknown,Unknown,,
RAS,Unknown,Unknown,,
RFP,Unknown,Unknown,,
GIFI,Industrials,Metal Fabrication,112181584,47801
FRGI,Unknown,Unknown,,
FR,Real Estate,REIT - Industrial,7595041280,1041852
HIFS,Financial Services,Banks - Regional,604823168,11642
FLY,Unknown,Unknown,,
FISI,Financial Services,Banks - Regional,571190656,131279
MBFI,Unknown,Unknown,,
FORM,Technology,Semiconductor Equipment & Materials,2845535232,893381
FFNW,Financial Services,Banks - Regional,198352912,25305
MFSF,Unknown,Unknown,,
WSBF,Financial Services,Banks - Regional,278152352,47833
PFS,Financial Services,Banks - Regional,2470156800,583822
MTU,Unknown,Unknown,,
MSFG,Unknown,Unknown,,
GSM,Basic Materials,Other Industrial Metals & Mining,774086144,921335
VIRT,Financial Services,Capital Markets,5696237568,883971
NEWS,Unknown,Unknown,,
FPO,Unknown,Unknown,,
SMFG,Financial Services,Banks - Diversified,96090537984,1407811
NATH,Consumer Cyclical,Restaurants,410995744,10532
INTL,Unknown,Unknown,,15530
FI,Technology,Information Technology Services,130777399296,2793837
NICK,Unknown,Unknown,,
MOFG,Financial Services,Banks - Regional,675268736,119594
FRSH,Technology,Software - Application,5278745600,4157618
WAFD,Financial Services,Banks - Regional,2442461440,472066
SMMF,Unknown,Unknown,,
MFG,Financial Services,Banks - Regional,70390317056,1111823
FSFG,Financial Services,Banks - Regional,172864256,16269
PROV,Financial Services,Banks - Regional,105579400,7374
PLNT,Consumer Cyclical,Leisure,8785911808,1125537
PFSI,Financial Services,Mortgage Finance,5190577664,299883
HTLF,Financial Services,Banks - Regional,2774426880,275404
HMNF,Unknown,Unknown,,
FTEK,Industrials,Pollution & Treatment Controls,28739898,143137
REFR,Technology,Electronic Components,48265632,31920
FLL,Consumer Cyclical,Resorts & Casinos,192957968,193105
FFWM,Financial Services,Banks - Regional,430766848,485183
SBFG,Financial Services,Banks - Regional,155093792,23398
PNFP,Financial Services,Banks - Regional,9257453568,472394
